Product;Global;DE;US;FR;NL;BE;IT;AT;CH;BG;HR;CY;CZ;DK;EE;FI;GR;IE;LT;LU;MT;PL;PT;RO;SI;SK;ES;SE;IS;LV;NO;TR;UA;RU;GB;IN;CA;BR;AR;JP;AU;NZ;QA;SA;RS;IL;JM;KR;MX;HU;TW;ID;GL;EG;ZA;NG;MA;TN
Nextcloud;108867;40235;8756;6628;2053;343;3042;2634;1612;444;242;53;865;227;107;1406;306;194;186;80;13;2366;414;651;258;308;2443;733;78;238;225;357;467;6173;2230;540;1818;1659;394;1466;745;119;3;65;138;145;11;450;905;1006;863;967;0;42;380;14;62;21
Big Blue Button;10254;3464;439;980;97;33;118;182;66;98;58;11;46;5;23;229;113;34;15;5;0;121;22;46;18;21;108;10;0;34;1;500;58;861;123;90;126;132;82;44;41;8;2;5;17;2;2;28;14;40;76;42;0;1;59;2;3;12
Plesk;1007521;257186;175349;126757;36496;2288;28219;3702;5530;662;312;80;1648;5211;180;9674;2341;3858;887;346;30;7683;2302;1907;181;198;88915;1454;239;347;710;29196;877;2583;71142;13865;19222;4456;1193;31149;7721;1044;13;331;205;1471;12;1016;802;672;2315;2689;0;37;1024;45;48;384
cPanel;1725956;39150;1223944;69559;27014;294;2337;292;1116;6062;792;161;93;159;472;6973;760;1439;1312;267;13;3011;4885;24740;435;1033;3568;7469;384;895;372;17984;3125;3318;33464;23844;49878;10981;2091;3627;29521;752;22;424;1278;823;2;115;771;2026;881;9481;0;71;3165;127;41;91
DirectAdmin;27069;1255;2565;1038;6029;88;130;1;31;11;3;1;34;0;31;106;3;15;938;21;0;1153;2;35;20;0;83;730;0;1;7;1084;243;314;431;127;280;550;164;108;58;9;0;15;5;237;0;2;3;23;5;40;0;0;18;0;0;3
ISPConfig;28269;17213;1209;2029;640;32;444;239;254;89;25;5;606;53;17;269;23;37;104;35;0;650;29;497;56;101;165;90;7;58;17;51;70;393;322;74;324;320;129;50;134;23;0;7;21;6;0;6;29;423;16;98;0;0;57;0;0;9
Interworx;5036;101;3850;4;184;3;21;0;0;1;0;0;1;1;0;9;0;0;0;0;0;0;6;3;0;0;29;1;0;0;0;2;0;2;238;1;47;0;0;4;114;0;0;0;1;0;0;0;0;380;0;1;0;0;13;0;0;0
Webmin;141141;30860;26603;13259;3914;341;2980;477;504;777;138;82;1025;290;177;2227;598;164;511;92;3;1615;266;1214;170;245;1468;672;36;355;154;1321;673;3638;4766;2522;4585;2820;1913;2729;1889;185;37;129;307;130;8;249;1143;771;961;4493;0;113;738;117;82;41
Cockpit;6738;946;1584;356;268;33;451;48;83;15;14;1;24;15;5;70;11;175;4;1;0;47;5;18;3;6;40;77;0;4;7;17;11;107;183;105;146;113;14;317;171;1;0;16;0;5;0;83;65;24;15;44;0;2;13;1;3;3
Ajenti;6827;89;69;1214;69;76;1183;1;47;30;6;7;15;19;137;55;19;1;18;0;22;915;29;1001;2;4;33;70;19;24;70;24;33;48;13;13;6;275;7;36;279;94;0;0;1;9;0;23;1;38;13;4;0;0;462;0;4;1
